Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28453390,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,08/03/2026,08:42,20/03/2026,08:41,TXB9J35,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28460018,BSB2,444703,AG,CO  ,BSB ,BSB2,E,09/03/2026,19:57,20/03/2026,09:00,TXM0F22,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28453353,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,08/03/2026,08:21,20/03/2026,09:00,UAB2J18,SV ,CRETA,COMFORT TGDI AT 1.0,Nao,,,,Não,
28481485,BSB2,443608,AG,CO  ,BSB ,BSB2,E,15/03/2026,15:01,20/03/2026,09:00,TYP4J95,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28456714,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,09/03/2026,10:05,20/03/2026,09:10,TXK3E99,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28480873,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,10:23,20/03/2026,09:45,TCR8H43,B  ,HB20,COMFORT MT 1.0 4P,Nao,,,,Não,
28381585,BSB2,375034,MENSAL MAIS,CO  ,BSB ,BSB2,E,18/02/2026,10:37,20/03/2026,10:00,UED0B61,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não,
28484250,BSB2,493604,AG,CO  ,BSB ,BSB2,E,16/03/2026,11:21,20/03/2026,11:15,TEL2B02,SV ,TRACKER,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28484539,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,12:13,20/03/2026,11:57,UAB2I50,CA ,VIRTUS,TSI AT 1.0 4P,Nao,,,,Não,
28484555,BSB2,494284,PJ,CO  ,BSB ,BSB2,E,16/03/2026,12:10,20/03/2026,12:01,TEN3I81,B  ,ARGO,FLEX 1.0 4P,Nao,,,,Não,
28484368,BSB2,446008,AG,CO  ,BSB ,BSB2,E,16/03/2026,11:36,20/03/2026,13:00,SJG9F54,B  ,ONIX,LS 1.0 4P,Nao,,,,Não,
28483928,BSB2,449802,PJ,CO  ,BSB ,BSB2,E,16/03/2026,10:31,20/03/2026,13:00,TER0C99,EA ,POLO,SENSE AT 1.0 4P,Nao,,,,Não,
28442205,BSB2,346358,REPLACEMENT PJ,CO  ,BSB ,BSB2,E,05/03/2026,13:49,20/03/2026,13:00,TXM0E77,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28429438,BSB2,451380,PJ,CO  ,BSB ,BSB2,E,02/03/2026,12:06,20/03/2026,13:00,TXB9A14,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28458624,BSB2,493019,OTA,CO  ,BSB ,BSB2,E,09/03/2026,14:55,20/03/2026,13:00,QSP4G71,EA ,POLO,HIGHLINE TSI AT 1.0,Nao,,,,Não,
28470159,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,13:10,20/03/2026,13:15,TYP4J69,SV ,FIAT FASTBACK 1.0 TU,P,Nao,,,,Não,
28482988,BSB2,455019,AG,CO  ,BSB ,BSB2,E,16/03/2026,08:31,20/03/2026,13:30,TXM0F08,B  ,ARGO,ARGO DRIVE 1.0,Nao,,,,Não,
28481261,BSB2,345955,OTA,CO  ,BSB ,BSB2,E,15/03/2026,13:16,20/03/2026,14:00,TET3C97,CA ,VIRTUS,MSI AT 1.6 4P,Nao,,,,Não,
28464521,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,01:15,20/03/2026,14:00,TXM0E82,B  ,ARGO,ARGO DRIVE 1.0,Nao,,,,Não,
28484834,BSB2,368065,PARCERIA,CO  ,BSB ,BSB2,E,16/03/2026,12:49,20/03/2026,14:30,SYT0J58,B  ,ONIX,MT 1.0 4P,Nao,,,,Não,
28481490,BSB2,490963,PARCERIA,CO  ,BSB ,BSB2,E,15/03/2026,15:09,20/03/2026,15:00,TXL6G25,AM ,FIAT MOBI 1.0 LIKE 5,P,Nao,,,,Não,
28474874,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,14:26,20/03/2026,15:00,FYK3I41,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28448392,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,06/03/2026,18:12,20/03/2026,15:00,TDB9J53,CA ,CRONOS,DRIVE AT 1.3 4P,Nao,,,,Não,
28391659,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,20/02/2026,17:20,20/03/2026,15:30,TXW4G91,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28483570,BSB2,459349,PJ,CO  ,BSB ,BSB2,E,16/03/2026,09:47,20/03/2026,15:30,TXK3D02,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28382973,BSB2,375061,MENSAL MAIS,CO  ,BSB ,BSB2,E,18/02/2026,15:48,20/03/2026,15:42,UAZ7I35,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28483593,BSB2,448310,PJ,CO  ,BSB ,BSB2,E,16/03/2026,09:48,20/03/2026,16:00,UEN0C71,SV ,VOLKSWAGEN T-CROSS 1,P,Nao,,,,Não,
28475258,BSB2,490780,PARCERIA,CO  ,BSB ,BSB2,E,13/03/2026,15:43,20/03/2026,16:00,TCE6D47,B  ,ONIX,MT 1.0 4P,Nao,,,,Não,
28479743,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,16:34,20/03/2026,16:30,TDX0E66,SV ,RENEGADE,LONGITUDE T270 FLEX,Nao,,,,Não,
28484616,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,12:16,20/03/2026,17:00,TEY4I60,EA ,POLO,SENSE AT 1.0 4P,Nao,,,,Não,
28448265,BSB2,490980,AG,CO  ,BSB ,BSB2,E,06/03/2026,17:55,20/03/2026,17:00,TXW4G46,SV ,HYUNDAI CRETA 1.0 T-,P,Nao,,,,Não,
28403059,BSB2,491936,PARCERIA,CO  ,BSB ,BSB2,E,23/02/2026,17:11,20/03/2026,17:00,TXD3D65,SU ,TERA,TSI AT,Nao,,,,Não,
28383290,BSB2,375034,MENSAL MAIS,CO  ,BSB ,BSB2,E,18/02/2026,17:18,20/03/2026,17:00,FZI3G81,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28464058,BSB2,345955,OTA,CO  ,BSB ,BSB2,E,10/03/2026,19:08,20/03/2026,18:00,SIW8A43,EA ,HB20,COMFORT PLUS TGDI AT,Nao,,,,Não,
28484432,BSB2,449220,AG,CO  ,BSB ,BSB2,E,16/03/2026,11:48,20/03/2026,18:00,TYO9H28,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28483480,BSB2,491434,AG,CO  ,BSB ,GYN3,E,16/03/2026,09:32,20/03/2026,18:00,TEN8C42,CA ,ONIX PLUS,TURBO PREMIER AT 1.0,Nao,,,,Não,
28482094,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,15/03/2026,20:35,20/03/2026,18:30,UAZ9H87,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28481640,BSB2,345699,PARCERIA,CO  ,BSB ,BSB2,E,15/03/2026,16:42,20/03/2026,19:00,TEE6C81,AM ,MOBI,TREKKING 1.0 4P,Nao,,,,Não,
28481699,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,15/03/2026,17:09,20/03/2026,19:00,TEQ0G07,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28480781,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,09:34,20/03/2026,20:00,UAB2I69,SV ,CRETA,COMFORT TGDI AT 1.0,Nao,,,,Não,
28482665,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,16/03/2026,08:01,20/03/2026,20:00,TDX0E86,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28471850,BSB2,495169,AG,CO  ,BSB ,BSB2,E,12/03/2026,20:15,20/03/2026,20:00,TEN9A95,SP ,X1,SDRIVE20I X LINE 2.0,Nao,,,,Não,
28482948,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,08:29,20/03/2026,20:15,TYP0J93,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28480641,BSB2,493604,AG,CO  ,BSB ,BSB2,E,15/03/2026,08:25,20/03/2026,20:30,TDR3D88,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28479058,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,12:26,20/03/2026,21:00,FZC2D91,SV ,T-CROSS,200 TSI AT 1.0 4P,Nao,,,,Não,
28477155,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,07:13,20/03/2026,21:00,GEU5C21,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28383951,BSB2,488759,OUTROS PF,CO  ,BSB ,BSB2,E,18/02/2026,22:39,20/03/2026,21:00,TEL8B25,SU ,NIVUS,COMFORTLINE 200 TSI,Nao,,,,Não,
28443829,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,05/03/2026,21:15,20/03/2026,21:00,TEL5F16,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28464481,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,23:53,20/03/2026,23:45,TEN8C91,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28389845,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,20/02/2026,12:01,21/03/2026,00:00,TXK3C84,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28436329,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,04/03/2026,07:17,21/03/2026,07:00,TDX6D94,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não,
28384212,BSB2,488759,OUTROS PF,CO  ,BSB ,BSB2,E,19/02/2026,07:43,21/03/2026,08:00,TXB9J33,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28455308,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,09/03/2026,06:24,21/03/2026,08:00,TYN3F61,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28477010,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,01:45,21/03/2026,08:00,TXB9I95,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28482997,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,08:32,21/03/2026,08:30,TXX7B54,AM ,FIAT MOBI 1.0 LIKE 5,P,Nao,,,,Não,
28384679,BSB2,471948,PJ,CO  ,BSB ,BSB2,E,19/02/2026,09:12,21/03/2026,09:00,GGP6H11,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28384692,BSB2,471948,PJ,CO  ,BSB ,BSB2,E,19/02/2026,09:12,21/03/2026,09:15,TEN5H94,B  ,ARGO,FLEX 1.0 4P,Nao,,,,Não,
28384753,BSB2,488759,OUTROS PF,CO  ,BSB ,BSB2,E,19/02/2026,09:25,21/03/2026,09:30,TEL4J71,SV ,TRACKER,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28478012,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,09:49,21/03/2026,09:45,TZA5A35,SG ,COMPASS,LONGITUDE TURBO FLEX,Nao,,,,Não,
28478531,BSB2,368065,PARCERIA,CO  ,BSB ,BSB2,E,14/03/2026,11:04,21/03/2026,10:00,TYO3I81,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28480874,BSB2,443954,PJ,CO  ,BSB ,BSB2,E,15/03/2026,10:21,21/03/2026,10:30,TXW4G87,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28466764,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,14:19,21/03/2026,13:30,TXX4E91,AM ,FIAT MOBI 1.0 TREKKI,P,Nao,,,,Não,
28466306,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,11/03/2026,13:29,21/03/2026,14:00,TXM9E44,SU ,FIAT PULSE 1.3 DRIVE,P,Nao,,,,Não,
28479499,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,14:45,21/03/2026,14:40,TXW4G78,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28386475,BSB2,481314,PJ,CO  ,BSB ,BSB2,E,19/02/2026,15:24,21/03/2026,15:00,TEU6F60,I  ,SPIN,LTZ AT 7 LUGARES 1.8,Nao,,,,Não,
28472793,BSB2,345813,PARCERIA,CO  ,BSB ,BSB2,E,13/03/2026,08:39,21/03/2026,18:30,UAA3A54,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28387426,BSB2,375061,MENSAL MAIS,CO  ,BSB ,BSB2,E,19/02/2026,19:36,21/03/2026,19:18,TES4A49,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28436443,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,04/03/2026,07:56,21/03/2026,20:00,TEQ0J91,CA ,CRONOS,DRIVE AT 1.3 4P,Nao,,,,Não,
28476717,BSB2,493607,AG,CO  ,BSB ,BSB2,E,13/03/2026,21:02,21/03/2026,21:00,TKO8D96,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28482072,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,15/03/2026,20:10,21/03/2026,21:30,TLW8D93,EA ,POLO,HIGHLINE TSI AT 1.0,Nao,,,,Não,
28464714,BSB2,493604,AG,CO  ,BSB ,BSB2,E,11/03/2026,07:51,21/03/2026,21:30,UDU6B34,SU ,VOLKSWAGEN TERA 1.0,P,Nao,,,,Não,
28478970,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,14/03/2026,12:07,22/03/2026,07:00,TXM0E78,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28460583,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,07:47,22/03/2026,07:30,UAB2I51,CA ,VIRTUS,TSI AT 1.0 4P,Nao,,,,Não,
28388788,BSB2,461250,PJ,CO  ,BSB ,BSB2,E,20/02/2026,09:23,22/03/2026,08:00,TCP6B43,G2 ,STRADA,CD FREEDOM FLEX 1.3,Nao,,,,Não,
28389072,BSB2,375061,MENSAL MAIS,CO  ,BSB ,BSB2,E,20/02/2026,10:13,22/03/2026,09:51,TXB8J56,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28478129,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,10:09,22/03/2026,09:56,TES4A66,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28389134,BSB2,483628,PJ,CO  ,BSB ,BSB2,E,20/02/2026,10:10,22/03/2026,10:00,TEJ8E98,CA ,HB20S,PLATINUM TGDI AT 1.0,Nao,,,,Não,
28483862,BSB2,389207,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,10:28,22/03/2026,10:00,TXK3B72,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não,
28465415,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,09:50,22/03/2026,10:00,TXD3E78,SU ,TERA,TSI AT,Nao,,,,Não,
28465969,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,11:53,22/03/2026,11:52,TXA8E96,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28397570,BSB2,490963,PARCERIA,CO  ,BSB ,BSB2,E,22/02/2026,12:02,22/03/2026,12:00,TXD3E17,SU ,TERA,TSI AT,Nao,,,,Não,
28482414,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,16/03/2026,05:58,22/03/2026,12:00,TYP4I87,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28390611,BSB2,488462,AG,CO  ,BSB ,BSB2,E,20/02/2026,14:05,22/03/2026,14:00,TJG0D15,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28459424,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,09/03/2026,17:37,22/03/2026,14:00,SYU8A17,SV ,RENEGADE,LONGITUDE T270 FLEX,Nao,,,,Não,
28480437,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,00:06,22/03/2026,15:00,TXD3E84,SU ,TERA,TSI AT,Nao,,,,Não,
28481096,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,12:08,22/03/2026,16:00,TYP4J96,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28479822,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,17:07,22/03/2026,16:51,UBA3H49,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28481599,BSB2,417338,REPLACEMENT,CO  ,BSB ,BSB2,E,15/03/2026,16:09,22/03/2026,17:00,UDQ5D64,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28483046,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,16/03/2026,08:41,22/03/2026,18:00,TXD3D79,SU ,TERA,TSI AT,Nao,,,,Não,
28481157,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,12:43,22/03/2026,20:00,TDJ8A22,SU ,DUSTER,ICONIC AT SCE 1.6 4P,Nao,,,,Não,
28478859,BSB2,393694,OUTROS PF,CO  ,BSB ,GYN3,E,14/03/2026,11:55,22/03/2026,20:00,TXD3E24,SU ,TERA,TSI AT,Nao,,,,Não
